2023-03-09 20:17:55,711	log_infos      	1040	INFO    	39412:	Explanation
#######################	###############	####	########	######	###########################################
YYYY-MM-DD HH:MM:SS,mmm	function name  	 lNr	level   	  PID:	Message (lNr: line number, PID: Process ID)
#######################	###############	####	########	######	###########################################

2023-03-09 20:20:05,067	log_infos      	1040	INFO    	38676:	Explanation
#######################	###############	####	########	######	###########################################
YYYY-MM-DD HH:MM:SS,mmm	function name  	 lNr	level   	  PID:	Message (lNr: line number, PID: Process ID)
#######################	###############	####	########	######	###########################################
2023-03-09 20:20:05,067	log_infos      	1046	WARNING 	38676:	Test settings enabled
2023-03-09 20:20:05,067	log_infos      	1050	WARNING 	38676:	Old .csv result lists will be overwritten
2023-03-09 20:20:05,067	log_infos      	1054	WARNING 	38676:	Manually selecting files disabled due to debugging
2023-03-09 20:20:05,067	log_infos      	1061	INFO    	38676:	Settings file location: D:\Projects\YSMR_CellSeg\swarm_setting.ini
2023-03-09 20:20:05,067	log_infos      	1064	INFO    	38676:	Logfile location: D:\Projects\YSMR_CellSeg\logfile.log
2023-03-09 20:20:05,067	log_infos      	1066	INFO    	38676:	Verbose enabled, logging set to debug.
2023-03-09 20:20:05,067	log_infos      	1071	INFO    	38676:	Displaying videos
2023-03-09 20:20:05,067	log_infos      	1078	INFO    	38676:	Using adaptive double threshold: initial threshold offset: 5; threshold offset for markers: 7.0
2023-03-09 20:20:05,067	log_infos      	1096	INFO    	38676:	GSFF settings: number: 3, minimum: 0, maximum: 30
2023-03-09 20:20:05,067	log_infos      	1099	INFO    	38676:	Saving detection video files
2023-03-09 20:20:05,067	log_infos      	1108	INFO    	38676:	Maximal track length for evaluation set to 20.0 s
2023-03-09 20:20:05,067	log_infos      	1118	DEBUG   	38676:	White bacteria on dark background set to True
2023-03-09 20:20:05,067	log_infos      	1119	DEBUG   	38676:	List save length set to 10000 entries
2023-03-09 20:20:05,067	log_infos      	1120	DEBUG   	38676:	Pixel/micrometre: 1.41888781
2023-03-09 20:20:05,067	log_infos      	1122	DEBUG   	38676:	tracking.ini settings:
2023-03-09 20:20:05,067	log_infos      	1124	DEBUG   	38676:	pixel per micrometre: 1.41888781
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	frames per second: 47.9
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	frame height: 600
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	frame width: 600
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	white bacteria on dark background: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	rod shaped bacteria: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	threshold offset for detection: 5
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	minimal length in seconds: 0.0
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	limit track length to x seconds: 20.0
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	minimal angle in degrees for turning point: 30.0
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	extreme area outliers lower end in px*px: 0
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	extreme area outliers upper end in px*px: 200
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	user input: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	select files: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	display video analysis: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save video: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	rename previous result .csv: False
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	delete .csv file after analysis: False
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	store processed .csv file: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	store generated statistical .csv file: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	store final analysed .csv file: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	split results by (Turn Points / Distance / Speed / Time / Displacement / perc. motile): perc. motile
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	split violin plots on: [0.0, 20.0, 40.0, 60.0, 80.0, 100.01]
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save large plots: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save rose plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save time violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save acr violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save length violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save turning point violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save speed violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save angle distribution plot / bins: 36
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save displacement violin plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	save percent motile plot: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	collate results csv to xlsx: True
2023-03-09 20:20:05,068	log_infos      	1124	DEBUG   	38676:	turning point violin plot min: 0.0
